"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date"
"452766","Limnodromus","scolopaceus","","Long-billed Dowitcher","Paul Marvin","United States","Estero Llano Grande SP, Weslaco, Hidalgo County, Texas","26.1253","-97.9532","flight call, flight song","//www.xeno-canto.org/452766/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/452766","A","06:42","2017-12-17"
"149434","Columbina","inca","","Inca Dove","Paul Marvin","United States","Santa Ana National Wildlife Refuge, Texas","26.0737","-98.1442","song","//www.xeno-canto.org/149434/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/149434","A","11:18","2011-06-24"
"277692","Leptotila","verreauxi","","White-tipped Dove","Paul Marvin","United States","Laguna Atascosa NWR, Cameron Co., Texas","26.2159","-97.3406","song","//www.xeno-canto.org/277692/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/277692","A","15:04","2015-05-24"
"147511","Leptotila","verreauxi","","White-tipped Dove","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","song","//www.xeno-canto.org/147511/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/147511","A","10:53","2012-04-11"
"147510","Leptotila","verreauxi","","White-tipped Dove","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","song","//www.xeno-canto.org/147510/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/147510","A","09:50","2012-04-11"
"147509","Leptotila","verreauxi","","White-tipped Dove","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","song","//www.xeno-canto.org/147509/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/147509","A","07:10","2012-04-11"
"21659","Leptotila","verreauxi","","White-tipped Dove","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21659/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21659","A","17:40","2008-05-30"
"21658","Leptotila","verreauxi","","White-tipped Dove","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21658/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21658","A","17:32","2008-05-30"
"368461","Zenaida","macroura","","Mourning Dove","Dan Lane","United States","Edinburg, Hidalgo, Texas","26.5553","-98.068","song, wingbeats","//www.xeno-canto.org/368461/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/368461","A","08:30","2017-04-26"
"153653","Zenaida","macroura","","Mourning Dove","Paul Marvin","United States","Lost Maples State Natural Area, Texas","29.8235","-99.5773","song","//www.xeno-canto.org/153653/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/153653","A","11:14","2012-04-09"
"35102","Zenaida","macroura","","Mourning Dove","Andrew Spencer","United States","near Rocksprings, Edwards Co., Texas","29.7417","-100.3948","song","//www.xeno-canto.org/35102/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/35102","A","19:00","2009-05-29"
"334776","Zenaida","asiatica","","White-winged Dove","Scott Gravette","United States","Kickapoo Cavern State Park, Texas","29.6183","-100.4509","song","//www.xeno-canto.org/334776/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/334776","A","13:00","2016-04-14"
"123368","Zenaida","asiatica","asiatica","White-winged Dove","Chris Harrison","United States","South Llano River State Park, Junction, Kimble, Texas","30.4431","-99.8042","song","//www.xeno-canto.org/123368/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/123368","A","17:55","2011-03-15"
"108814","Zenaida","asiatica","","White-winged Dove","Paul Marvin","United States","Chisos Basin, Big Bend National Park, Brewster Co., Texas","29.2723","-103.2934","Song","//www.xeno-canto.org/108814/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/108814","A","08:10","2011-06-18"
"108812","Zenaida","asiatica","","White-winged Dove","Paul Marvin","United States","Rio Grande Village, Big Bend National Park, Brewster Co., Texas","29.1823","-102.9595","Song","//www.xeno-canto.org/108812/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/108812","A","08:19","2011-06-17"
"368482","Megascops","asio","mccallii","Eastern Screech Owl","Dan Lane","United States","Edinburg, Hidalgo, Texas","26.5553","-98.068","song","//www.xeno-canto.org/368482/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/368482","A","20:30","2017-04-27"
"278588","Megascops","asio","","Eastern Screech Owl","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","song","//www.xeno-canto.org/278588/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/278588","A","20:59","2015-05-12"
"154978","Megascops","asio","mccallii","Eastern Screech Owl","Dan Lane","United States","Edinburg, Hidalgo, Texas","26.5553","-98.068","song","//www.xeno-canto.org/154978/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/154978","A","23:30","2013-11-14"
"368470","Glaucidium","brasilianum","","Ferruginous Pygmy Owl","Dan Lane","United States","Edinburg, Hidalgo, Texas","26.5553","-98.068","song","//www.xeno-canto.org/368470/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/368470","A","08:00","2017-04-27"
"368467","Glaucidium","brasilianum","","Ferruginous Pygmy Owl","Dan Lane","United States","Edinburg, Hidalgo, Texas","26.5553","-98.068","song","//www.xeno-canto.org/368467/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/368467","A","08:00","2017-04-27"
"306539","Glaucidium","brasilianum","","Ferruginous Pygmy Owl","Bryan Calk","United States","Willacy County, Texas","26.5427","-97.5607","call, song","//www.xeno-canto.org/306539/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/306539","A","19:00","2016-03-10"
"154972","Glaucidium","brasilianum","","Ferruginous Pygmy Owl","Dan Lane","United States","Edinburg, Hidalgo, Texas","26.5553","-98.068","song","//www.xeno-canto.org/154972/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/154972","A","23:00","2013-11-14"
"278981","Micrathene","whitneyi","","Elf Owl","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","song","//www.xeno-canto.org/278981/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/278981","A","09:33","2015-05-13"
"109164","Chordeiles","acutipennis","","Lesser Nighthawk","Paul Marvin","United States","K-Bar campground, Big Bend NP, Brewster Co, Texas","29.31","-103.164","call, song","//www.xeno-canto.org/109164/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/109164","A","22:00","2011-06-20"
"109163","Chordeiles","acutipennis","","Lesser Nighthawk","Paul Marvin","United States","Dugout Wells, Big Bend NP, Brewster Co, Texas","29.2719","-103.1362","Song","//www.xeno-canto.org/109163/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/109163","A","21:45","2011-06-20"
"285306","Nyctidromus","albicollis","","Pauraque","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","call, song","//www.xeno-canto.org/285306/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/285306","A","20:35","2015-05-12"
"285285","Nyctidromus","albicollis","","Pauraque","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","call, song","//www.xeno-canto.org/285285/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/285285","A","20:48","2015-05-12"
"276982","Nyctidromus","albicollis","","Pauraque","Paul Marvin","United States","Salineno Shortcut Road, Salineno, Starr County, Texas","26.5285","-99.1071","song","//www.xeno-canto.org/276982/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/276982","A","05:37","2015-05-08"
"276977","Nyctidromus","albicollis","","Pauraque","Paul Marvin","United States","Salineno Shortcut Road, Salineno, Starr County, Texas","26.5285","-99.1071","song","//www.xeno-canto.org/276977/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/276977","A","04:26","2015-05-11"
"21654","Nyctidromus","albicollis","","Pauraque","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21654/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21654","A","22:40","2008-05-28"
"21645","Nyctidromus","albicollis","","Pauraque","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21645/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21645","A","20:42","2008-05-28"
"150241","Phalaenoptilus","nuttallii","","Common Poorwill","Paul Marvin","United States","Davis Mountains State Park, Jeff Davis Co, Texas","30.5965","-103.9334","song","//www.xeno-canto.org/150241/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/150241","A","20:53","2012-04-04"
"324789","Antrostomus","carolinensis","","Chuck-will's-widow","Dell Little","United States","Athens, Henderson County, Texas","32.0739","-95.9312","song","//www.xeno-canto.org/324789/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/324789","A","06:30","2015-07-04"
"51570","Antrostomus","carolinensis","","Chuck-will's-widow","Curtis Anderson","United States","Lakeside, Texas","32.826","-97.51","song","//www.xeno-canto.org/51570/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/51570","A","05:45","2010-05-21"
"34952","Antrostomus","carolinensis","","Chuck-will's-widow","Andrew Spencer","United States","near Rocksprings, Edwards Co., Texas","29.7417","-100.3948","song","//www.xeno-canto.org/34952/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34952","A","21:30","2009-05-29"
"34251","Antrostomus","arizonae","arizonae","Mexican Whip-poor-will","Andrew Spencer","United States","Green Gulch, Big Bend National Park, Brewster Co., Texas","29.2837","-103.2734","song","//www.xeno-canto.org/34251/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34251","A","20:30","2009-05-17"
"454882","Sayornis","nigricans","","Black Phoebe","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","song","//www.xeno-canto.org/454882/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/454882","A","07:38","2016-12-20"
"174099","Sayornis","saya","","Say's Phoebe","Paul Marvin","United States","Hwy 166, Fort Davis, Texas","30.6271","-104.2764","song","//www.xeno-canto.org/174099/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/174099","A","09:22","2012-04-05"
"404737","Contopus","virens","","Eastern Wood Pewee","Jacob R. Saucier","United States","Texas: Kinney County; 26.1 km NE Brackettville, Miguel Canyon","29.4758","-100.2272","song","//www.xeno-canto.org/404737/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/404737","A","07:30","2015-05-07"
"286544","Empidonax","virescens","","Acadian Flycatcher","Paul Marvin","United States","Lost Maples State Natural Area, Texas","29.8235","-99.5773","call, song","//www.xeno-canto.org/286544/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/286544","A","07:16","2015-05-07"
"12212","Empidonax","wrightii","","American Grey Flycatcher","Nathan Pieplow","United States","Texas Creek, Fremont County, Colorado","38.4131","-105.5801","song","//www.xeno-canto.org/12212/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/12212","A","9:30","2005-05-17"
"299101","Pyrocephalus","obscurus","","Vermilion Flycatcher","Paul Marvin","United States","Falcon County Park (near Falcon State Park), Starr Co, Texas","26.5647","-99.1269","bill snaps, flight song, male","//www.xeno-canto.org/299101/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/299101","A","18:11","2015-05-10"
"299099","Pyrocephalus","obscurus","","Vermilion Flycatcher","Paul Marvin","United States","Falcon County Park (near Falcon State Park), Starr Co, Texas","26.5647","-99.1269","song,male","//www.xeno-canto.org/299099/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/299099","A","18:14","2015-05-10"
"7731","Pitangus","sulphuratus","","Great Kiskadee","Robin Carter","United States","Santa Ana National Wildlife Refuge, Texas","26.0737","-98.1442","song","//www.xeno-canto.org/7731/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/7731","A","16:00","2005-12-16"
"404720","Tyrannus","couchii","","Couch's Kingbird","Jacob R. Saucier","United States","Texas: Kinney County; Brackettville, Fort Clark","29.3056","-100.4212","call, song","//www.xeno-canto.org/404720/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/404720","A","13:00","2015-05-03"
"147322","Tyrannus","couchii","","Couch's Kingbird","Paul Marvin","United States","Santa Ana National Wildlife Refuge, Texas","26.0737","-98.1442","song","//www.xeno-canto.org/147322/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/147322","A","07:16","2012-04-12"
"133304","Tyrannus","couchii","","Couch's Kingbird","Andrew Spencer","United States","Rio Grande Village, Big Bend National Park, Brewster Co., Texas","29.1823","-102.9595","song","//www.xeno-canto.org/133304/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/133304","A","07:10","2012-04-15"
"133303","Tyrannus","couchii","","Couch's Kingbird","Andrew Spencer","United States","Rio Grande Village, Big Bend National Park, Brewster Co., Texas","29.1823","-102.9595","song","//www.xeno-canto.org/133303/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/133303","A","07:10","2012-04-15"
"277368","Tyrannus","verticalis","","Western Kingbird","Paul Marvin","United States","San Ygnacio, Zapata Co, Texas","27.0446","-99.4449","dawn song","//www.xeno-canto.org/277368/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/277368","A","05:27","2015-05-11"
"404715","Myiarchus","cinerascens","","Ash-throated Flycatcher","Jacob R. Saucier","United States","Texas: Kinney County; 5.3 km SE of Brackettville, Tim Ward Ranch","29.2834","-100.3724","male, song","//www.xeno-canto.org/404715/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/404715","A","08:00","2015-05-03"
"34316","Myiarchus","cinerascens","","Ash-throated Flycatcher","Andrew Spencer","United States","Chisos Basin, Big Bend National Park, Brewster Co., Texas","29.2723","-103.2934","dawn song","//www.xeno-canto.org/34316/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34316","A","06:10","2009-05-18"
"34143","Myiarchus","cinerascens","","Ash-throated Flycatcher","Andrew Spencer","United States","Guadalupe Mountains National Park, Culberson Co., Texas","31.912536","-104.878922","call, song","//www.xeno-canto.org/34143/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34143","A","11:00","2009-05-15"
"34142","Myiarchus","cinerascens","","Ash-throated Flycatcher","Andrew Spencer","United States","Guadalupe Mountains National Park, Culberson Co., Texas","31.912536","-104.878922","call, song","//www.xeno-canto.org/34142/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34142","A","11:00","2009-05-15"
"34090","Myiarchus","cinerascens","","Ash-throated Flycatcher","Andrew Spencer","United States","Guadalupe Mountains National Park, Culberson Co., Texas","31.912536","-104.878922","call, song","//www.xeno-canto.org/34090/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34090","A","10:45","2009-05-10"
"34089","Myiarchus","cinerascens","","Ash-throated Flycatcher","Andrew Spencer","United States","Guadalupe Mountains National Park, Culberson Co., Texas","31.912536","-104.878922","call, song","//www.xeno-canto.org/34089/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34089","A","10:45","2009-05-10"
"285327","Myiarchus","tyrannulus","","Brown-crested Flycatcher","Paul Marvin","United States","Bentsen-Rio Grande SP, Texas","26.1762","-98.3862","dawn song","//www.xeno-canto.org/285327/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/285327","A","06:35","2015-05-13"
"460601","Vireo","griseus","","White-eyed Vireo","Paul Marvin","United States","Lost Maples State Natural Area, Texas","29.8235","-99.5773","song","//www.xeno-canto.org/460601/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/460601","A","11:44","2012-04-09"
"460600","Vireo","griseus","","White-eyed Vireo","Paul Marvin","United States","Lost Maples State Natural Area, Texas","29.8235","-99.5773","song","//www.xeno-canto.org/460600/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/460600","A","07:40","2012-04-09"
"452765","Vireo","griseus","","White-eyed Vireo","Paul Marvin","United States","Estero Llano Grande SP, Weslaco, Hidalgo County, Texas","26.1253","-97.9532","song","//www.xeno-canto.org/452765/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/452765","A","08:53","2017-12-14"
"424697","Vireo","griseus","","White-eyed Vireo","David Sarkozi","United States","Meridian, Bosque County, Texas","31.8902","-97.6998","song","//www.xeno-canto.org/424697/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/424697","A","13:51:54","2018-07-10"
"424513","Vireo","griseus","","White-eyed Vireo","David Sarkozi","United States","Meridian State Park, Bosque County, Texas","31.891","-97.7051","song","//www.xeno-canto.org/424513/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/424513","A","14:15","2018-07-10"
"404745","Vireo","griseus","","White-eyed Vireo","Jacob R. Saucier","United States","Texas: Kinney County; 26.1 km NE Brackettville, Miguel Canyon","29.4758","-100.2272","song","//www.xeno-canto.org/404745/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/404745","A","07:00","2015-05-08"
"404739","Vireo","griseus","","White-eyed Vireo","Jacob R. Saucier","United States","Texas: Kinney County; 26.1 km NE Brackettville, Miguel Canyon","29.4758","-100.2272","call, song","//www.xeno-canto.org/404739/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/404739","A","08:00","2015-05-07"
"143926","Vireo","griseus","micrus","White-eyed Vireo","Andrew Spencer","United States","Sabal Palm Sanctuary, Cameron Co., Texas","25.8501","-97.4169","song","//www.xeno-canto.org/143926/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/143926","A","08:00","2013-04-18"
"123341","Vireo","griseus","","White-eyed Vireo","Chris Harrison","United States","Aransas National Wildlife Refuge, Calhoun, Texas","28.2518","-96.7915","song","//www.xeno-canto.org/123341/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/123341","A","09:30","2010-11-28"
"71005","Vireo","griseus","","White-eyed Vireo","Mary Beth Stowe","United States","Lost Maples SNA, Bandera County, Texas","29.8242","-99.5845","Song","//www.xeno-canto.org/71005/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/71005","A","?","2010-04-00"
"21959","Vireo","griseus","","White-eyed Vireo","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21959/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21959","A","18:27","2008-05-29"
"21958","Vireo","griseus","","White-eyed Vireo","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21958/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21958","A","18:18","2008-05-29"
"21649","Vireo","griseus","","White-eyed Vireo","Chris Parrish","United States","Welder Wildlife Refuge, San Patricio County, Texas","28.1137","-97.4228","song","//www.xeno-canto.org/21649/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/21649","A","19:25","2008-05-28"
"443821","Vireo","bellii","","Bell's Vireo","Edward Caillouet","United States","LLELA Nature Preserve (near  Lewisville), Denton County, Texas","33.0621","-96.9796","song","//www.xeno-canto.org/443821/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/443821","A","08:30","2016-09-14"
"404716","Vireo","bellii","","Bell's Vireo","Jacob R. Saucier","United States","Texas: Kinney County; 5.3 km SE of Brackettville, Tim Ward Ranch","29.2834","-100.3724","call, male, song","//www.xeno-canto.org/404716/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/404716","A","09:00","2015-05-03"
"334410","Vireo","bellii","","Bell's Vireo","Scott Gravette","United States","Kickapoo Cavern State Park, Texas","29.6183","-100.4509","male, song","//www.xeno-canto.org/334410/download","//creativecommons.org/licenses/by-nc-sa/4.0/","https://www.xeno-canto.org/334410","A","11:30","2016-04-12"
"128936","Vireo","bellii","","Bell's Vireo","Ronnie Kramer","United States","Dripping Springs, Travis, Texas","30.3494","-98.12","Excited Song, Song, male, song","//www.xeno-canto.org/128936/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/128936","A","14:05","2013-04-07"
"34881","Vireo","bellii","bellii","Bell's Vireo","Andrew Spencer","United States","near Rocksprings, Edwards Co., Texas","29.7417","-100.3948","song","//www.xeno-canto.org/34881/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34881","A","15:15","2009-05-29"
"34315","Vireo","bellii","medius","Bell's Vireo","Andrew Spencer","United States","Blue Creek, Big Bend Naitonal Park, Brewster Co., Texas","29.2164","-103.3587","song","//www.xeno-canto.org/34315/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34315","A","09:45","2009-05-17"
"34314","Vireo","bellii","medius","Bell's Vireo","Andrew Spencer","United States","Blue Creek, Big Bend Naitonal Park, Brewster Co., Texas","29.2164","-103.3587","courtship song","//www.xeno-canto.org/34314/download","//creativecommons.org/licenses/by-nc-nd/2.5/","https://www.xeno-canto.org/34314","A","09:45","2009-05-17"
"160976","Vireo","atricapilla","","Black-capped Vireo","Paul Marvin","United States","Kickapoo Cavern State Park, Texas","29.6183","-100.4509","song","//www.xeno-canto.org/160976/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/160976","A","10:18","2012-04-08"
"160974","Vireo","atricapilla","","Black-capped Vireo","Paul Marvin","United States","Kickapoo Cavern State Park, Texas","29.6183","-100.4509","song","//www.xeno-canto.org/160974/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/160974","A","10:02","2012-04-08"
"160973","Vireo","atricapilla","","Black-capped Vireo","Paul Marvin","United States","Kickapoo Cavern State Park, Texas","29.6183","-100.4509","call, song","//www.xeno-canto.org/160973/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/160973","A","09:57","2012-04-08"
"152882","Vireo","atricapilla","","Black-capped Vireo","Andrew Spencer","United States","Kerr Wildlife Management Area, Kerr County, Texas","30.0801","-99.5027","song","//www.xeno-canto.org/152882/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/152882","A","07:30","2013-04-16"
"141417","Vireo","atricapilla","","Black-capped Vireo","Mike Nelson","United States","Kerr Wildlife Management Area, Kerr County, Texas","30.0801","-99.5027","song","//www.xeno-canto.org/141417/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/141417","A","06:30","2013-06-28"
"141414","Vireo","atricapilla","","Black-capped Vireo","Mike Nelson","United States","Kerr Wildlife Management Area, Kerr County, Texas","30.0801","-99.5027","song","//www.xeno-canto.org/141414/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/141414","A","06:30","2013-06-28"
"141413","Vireo","atricapilla","","Black-capped Vireo","Mike Nelson","United States","Kerr Wildlife Management Area, Kerr County, Texas","30.0801","-99.5027","song","//www.xeno-canto.org/141413/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/141413","A","06:30","2013-06-28"
"133059","Vireo","atricapilla","","Black-capped Vireo","Andrew Spencer","United States","Kerr Wildlife Management Area, Kerr County, Texas","30.0801","-99.5027","song","//www.xeno-canto.org/133059/download","//creativecommons.org/licenses/by-nc-sa/3.0/","https://www.xeno-canto.org/133059","A","07:00","2013-04-16"
